Tipo de disolución matrimonial;Indicador;Periodo;Total
Total;Variación anual;2021;13,21
Total;Variación anual;2020;-16,06
Total;Variación anual;2019;-4,15
Total;Variación anual;2018;-2,83
Total;Variación anual;2017;1,03
Total;Variación anual;2016;-0,06
Total;Variación anual;2015;-4,28
Total;Variación anual;2014;5,43
Total;Variación anual;2013;-9,32
Total;Variación anual;2012;0,1
Total;Variación anual;2011;0,3
Total;Variación anual;2010;3,91
Total;Variación anual;2009;-10,74
Total;Variación anual;2008;-13,51
Total;Variación anual;2007;-5,76
Total;Variación anual;2006;6,48
Total;Variación anual;2005;
